Location,Tweet,Positivity
None,"RT @AsYouNotWish: If I get killed for speaking the truth tomorrow, half of these morons will blame my torn jeans, some will say, she was vu ",-0.3888888888888889
Malaysia,RT @tufairies: I hope my absence haunts you.,-0.0125
"Atlanta, GA",RT @ColorstormKid: I ve been having this weird conflict lately where I feel so full of love I m almost bursting but also completely empty a ,-0.010000000000000014
"Jacksonville Beach, FL",RT @snatched: no offense but if u lost me ur dumb,-0.375
None,"RT @btsvotingteam: [ REPLY CHALLENGE ]

Let's aim for 3,000 replies 

Can u make it before 6 minutes?

The faster we can do it, much better ",-0.125
India,12 Things You Should Do Before Starting a Small Business https://t.co/Y3V3V2p9bu #entrepreneurshipstartup,-0.125
FutureBound,"You could buy some players ...
what a crazy idea that is right , you guys never thought of that? https://t.co/hdg67otfS9",-0.15714285714285714
Indonesia,"RT @PCYUNIONPH: [PREVIEW] 180127 The E yXiOn in Saitama  #EXO #CHANYEOL #  

#SoompiAwards  #TwitterBestFandom  #TeamEXO @weareoneEXO
[baby ",-0.75
"Len  is Paulista, Brasil",RT @WindowsXPmemes: I never get any fucking help in this house https://t.co/YrA8epskji,-0.6
Donghae's,"#TwitterBestFandom
#TeamSuperJunior
#SoompiAwards

I hate how i'm voting with only one acc rn. ONE!!!! WHEN I COULD  https://t.co/oZomgYUyQo",-0.4
"Istanbul, Turkey","RT @House_Feminist: I secretly hope that twitter keeps extending the character limit as a social experiment, slowly conditioning our attent ",-0.22222222222222224
"St Louis, MO",RT @tbhjuststop: when you walk passed a mirror and realize how ugly you looked all day https://t.co/aZsMllAjgh,-0.7
                          ,RT @Bhushanlalb: This is result of @MehboobaMufti's wrong designee to release 120000 stone pelters from Jails.she want to help the Pakistan ,-0.5
"Santa Rosa City, Calabarzon","RT @SpottedMNL: We have a down to earth superstar.. from In Control Concert to #JULIETheConcert 

Nothing has change.. Julie, Japs, JSJ, Hu ",-0.15555555555555559
None,RT @lejieundary: anyways the fact that 102k people follow a racist and a jimin anti like vantaekim says a lot about the level of twisted hy ,-0.5
sedef,yes i m crying https://t.co/i8CyMf2OKS,-0.2
None,"RT @Gibbsdithers: DRUNK QUOTES: 
 My husband may have faults (MAY!?), but he's never lied to me. ~Hillary C. per Kim Eisler's Masters of th ",-0.625
Indonesia / with iKON.,RT @Jinnani_: I gave hat to donghyuk but forgot to make it bigger so he said its small   sorry dongi,-0.25
888,RT @acousticnude: I m crying she always thinks about Lisa whenever she sees her parents https://t.co/xlCVaCvSQR,-0.2
ThisIsForTheFritters,"RT @M1dn1ght_St4r: anyhow, on a lighter note, my friend @elliottpicone put up a bit of an update/commentary on small youtubers and the comm ",-0.25
None,RT @WhistleSports: I'm crying   https://t.co/qOvFPgk11J,-0.2
None,RT @WhistleSports: I'm crying   https://t.co/qOvFPgk11J,-0.2
Scotland,RT @galka_max: An average day in the life of an American https://t.co/auAGA7G7EC https://t.co/zGT5ksfDss,-0.075
england ,"RT @wordsofroadtrip: i m sorry if you disagree, but blair is trying to ruin roadtrip s reputation, he got involved in the drama with WDW fo ",-0.5
None,Feeding Pets a Raw-Meat Diet Can Be Dangerous https://t.co/AudCjp8PfN #dogs #healthwellness #news,-0.6
"Chicago, IL",RT @___DestinyJadai: Bitches always trying to pick on a bitch they THINK scary   going to end up on the floor ... beat the fuck up.,-0.45
None,"RT @btsvotingteam: [ REPLY CHALLENGE ]

Let's aim for 7,000 replies 

Can u make it before 7 minutes?

The faster we can do it, much better ",-0.125
Gambia,It's a throwback to Dope hip hop songs throughout the past 5yrs typa morning    ,-0.25
None,"@RealAlexJones @realDonaldTrump @jeffsessions 
ARREST THESE POLITICIANS
&amp;So-called Lawmakers https://t.co/PEnFSaVCfM",-0.05
None,"RT @totaldivaseps: .@KennyOmegamanX and @ibushi_kota storm past the media gathering. The landscape has just shifted in a major, major way! ",-0.036458333333333336
Philippines,".@japethaguilar35 took a gallant stand in the absence of @barangayginebra's rim protector, @GWillSlaughter in their  https://t.co/okteFwyYV0",-0.0125
"Austin, TX","RT @destineybleu: It s crazy how intimidating people find me, when in reality I m so easily intimated. I just fake it like my anxiety isn t ",-0.2222222222222222
in Gedanken,RT @sbstryker: Retweet this picture of Oprah with 3 hands or you'll have a decade of bad luck https://t.co/nPMOoe3kQk,-0.6999999999999998
None,RT @themadfragger: @bullettacogames is giving away a Limited Edition PS4 Pro Console Bundle on tax day this year to brighten someone's day. ,-0.07142857142857142
Polska,"RT @Kekeflipnote: My little wooly cat, I mean cap ! https://t.co/yvK2WoCr5J",-0.2890625
None,"I just learned that millenials invented a new pointless word, ""microcheating"", and upon learning it I've started vo  https://t.co/TwsOgDAKS9",-0.05681818181818182
None,"@ChrisDHWaugh Aye and I bet the grass is green , get some news on transfers man instead of stating the bleedin obvious",-0.1
None,"I m a little strange, I m talking less #TeamGOT7 #TwitterBestFandom",-0.13472222222222222
"Rotterdam, The Netherlands","RT @MistressCurves: Find your place beneath my feet as I push down on my accelerator &amp; drive you to the bank.

  

@cashpointmeets @rtsucke ",-0.15555555555555559
None,RT @ports: i never stopped missing you,-0.2
None,RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
Kandy,@Manolia93433066 Hae is too sneaky . U hardly see it with all the chaos around.,-0.2916666666666667
"London, England",RT @suegray834: This Tory Govt has consistently tried to undermine Parliament ! And hence why they are obsessed with grabbing Henry VIII po ,-0.09375
None,RT @HERTWEETX: i don t think ppl realize one of the worst feelings is when u tell someone how u feel about a situation &amp; instead of them tr ,-1.0
Planet iman,"RT @NotebookMsgs: that's my problem, I think too much, I feel too deeply. what a dangerous combination.",-0.13333333333333333
"Houston, TX",You re TRULY SICK!!! If you have a problem with something someone does AND if you try to dictate someone s EVERY move !!,-1.0
       ,"I'll post random tweet #TeamBTS
#TwitterBestFandom @BTS_twt",-0.5
"West Midlands, England",RT @ashley_rider88: Another sale! Get one too! Ashley spreads wide open with closeups. Get yours here https://t.co/qPkhWwUZo2 @manyvids #MV ,-0.05
Boise. Idaho,My ducks are absolutely not in a row. At this point I have no idea where my ducks even are,-0.1
None,"RT @terasajda: @RealKruti101 He's doing these horny acts to show to the whole world as if ""Hey, Look I'm into girls. I'm not gay"" par Chakk ",-0.004166666666666666
Lakukhon' imali,"RT @Neo_url: Even as a celebrity, you have to be moving in some pretty particular circles for your friends to be setting you up on a blind ",-0.02777777777777779
"Rotterdam, The Netherlands","As someone who is a part of a couple, couples are the most annoying creatures on earth",-0.15000000000000002
"Mumbai, India","As kids we had this pledge 'All Indians are my brothers and sisters...'
I'm sorry I do not acknowledge this pledge.  https://t.co/BopjylSLc1",-0.5
None,"RT @inksoomissedit: [IKYMI] 150128 Gaon Awards 2015 - Red Carpet

  as marked

#   #DO (D.O.) #Kyungsoo #TwitterBestFandom #TeamEXO @weareo ",-0.21666666666666667
Leicester / Abuja,Bruh I fainted and started doing the worm     106&amp;Park was the shit https://t.co/vg9LgguVQZ,-0.2
here,RT @kevinabstract: Look grandkids I was pushing the gay agenda on the Heteros and made a crazy impulsive decision inspired by my god Tupac ,-0.09166666666666665
               ,RT @sarahnghaeyoo_: Hello idk i think hyunsik was (if not crying) a little teary during this moment. I mean look at Eunkwang trying to hug ,-0.13333333333333333
Philippines,So salad coma is a thing now.   @whianwamos,-0.1
England,RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
None,"RT @LeftwingPoet: The absolute state of it when Corbyn said that, he looked aghast! https://t.co/KqQsfY2cBK",-0.275
"Berkeley, CA",RT @Alyssa_Milano: Let s be clear: Donald Trump s attacks on immigrants are rooted in white supremacy. His racist wall is a symbol of hate. ,-0.23333333333333336
Far away.,RT @Jinnani_: I asked chanwoo what game does he play nowadays and he said battle ground and he plays it with jinhwan!,-0.5
None,"RT @chrissyteigen: Settle down, braveheart https://t.co/DyFvkAJvX2",-0.15555555555555559
" Bristol, England ",RT @meaganmday: Theory: somewhere on the dark web are instructions to purchase these oligarchical felt hats from Amazon in order to receive ,-0.15
None,RT @methangeI: This music video deserved a fucking Grammy. https://t.co/zBOSLpjPtE,-0.6
Kufar Enclave of Euskadi,"RT @FiveRights: I'm sick of illegal aliens insulting Americans.
Just deport every illegal - as should've been done years ago - and let them ",-0.6785714285714286
Essex,"RT @chootchyface: Corbyn says he took money from Iranian Press TV ""a very long time ago"". It was 2012. #marr https://t.co/thiQOqudRV",-0.065
None,"RT @P_G_Thompson: Corbyn just told #Marr he left Iran's propaganda arm Press TV because of their stance on ""green issues."" He did not leave ",-0.10000000000000002
Italy,I've just watched episode S04E04 of Awkward.! #tvtime https://t.co/047O97KwOu https://t.co/j9dyQ9JOOv,-0.75
"Les Pilles, 26110, France",@KrisStrawman @pastorlocke So that's where I have been going wrong all these years!?,-0.625
"Pennsylvania, USA","RT @nizmycuba:  I wear heals and it s not for a fashion statement. It s because if I see something wrong, we are gonna kick them every sing ",-0.5
nigeria,The funny thing now is  I went to PHCN (NEPA) office to complain that we've not been having light I was shocked... https://t.co/UuPIPjql1T,-0.016666666666666646
"      ,              ",RT @ports: i never stopped missing you,-0.2
None,RT @itsposttmalone: you deserve someone that ll thank God everyday for you. someone that ll treat you like a blessing &amp; not a burden. someo ,-0.2
Denmark,"RT @RUSH: Have to agree with how absurd it is that @SKGaming had to play a 5 hour bo3, then a 2-3 hour gap, and then play again.  Hopefully ",-0.5
None,@KateMulkern @KieranHarris7 We mug off Morrison s at least twice a week,-0.3
Neverland ,RT @hagarr_w: Wine drunk me is just an uncensored me tbh https://t.co/eq8658hqAU,-0.5
None,RT @skylarrebeccaj: WITH SOME FUCKING LEMON https://t.co/xzmXbCQXCf,-0.6
"Hawaii, USA","RT @waltshaub: Hey @GOP &amp; @TheDemocrats, instead of pointing fingers and shrieking at each other every time one of your donors turns out to ",-0.125
"Abuja, Nigeria","RT @OgbeniDipo: My dad told me  if you fail in School you will be a slave to your mates.  That was enough motivation from JSS1. 

If you li ",-0.25
rocky's exposed forehead  ,"i just took a fkng long nap!

#TeamASTRO
#TwitterBestFandom",-0.0625
None,RT @KayTyler_: So you boys have no problem hiding drugs up your bum but if I wanna pinch and slap your booty small now you ll wanna fight m ,-0.25
Republic of Slovenia,"RT @aelfblockchain: This links to a high quality picture, click the link to see what we've achieved in the past two weeks.https://t.co/TwBS ",-0.045
None,"RT @WestmonsterUK: TOUGH: @realDonaldTrump would take a hard negotiating stance with the 'unfair' EU.

He's promising a bumper trade deal, ",-0.2451388888888889
kent,"@DanHewitt2011 Some of our fans are pathetic, I m in the same boat as you with a season ticket mate, yet people som  https://t.co/sTrIp3JCXz",-0.5
in your bed,"RT @ThembaRumbu: Share Everyone, a coworker of mine. Her  little glittery phone case got a small crack in it at work while in her front poc ",-0.21875
"Melbourne, FL","RT @glogaren: not dealing with the old shit, I ve moved on.",-0.05
None,RT @AmazingPhil: A man playing the saxophone just followed me down the street. I didn t know if I should dance or run,-0.15555555555555559
"England, United Kingdom",I'm not talking about addiction obviously. That's a whole other tragic issue without easy answers. #bbctbq,-0.04833333333333334
W my boo,"RT @MarkiaaG_: I want a boyfriend who gone reply to other niggas comments like ""Why you on her shit""    not a nigga who gone screenshot it ",-0.1625
757,"RT @LARRAYOX: I saw a video of an dog owner playing dead and his dog tried to save him 

so I tried it https://t.co/6pTSGzAznh",-0.2
None,"RT @girlposts: me: fuck work. if i m late idc fuck that place lmao 

also me trying to get to work on time: https://t.co/LELQgSlnt0",-0.12500000000000003
None,RT @bravofucker: poor little boy ... #bravofucker fucking a peruvian young slut. https://t.co/H3sop0Tzpy,-0.271875
None,"RT @SusanneLeist: A place of #fantasy.
A place of darkness.
A place to be visited
THE DEAD GAME
https://t.co/qdV8YO8CIk   
#IndieBooksBeSee ",-0.30000000000000004
   |          RPS           ,"RT @back2jeffrey: ""sm doesn't do hiphop""
Okay, mad city is a ballad song
#    _   ",-0.0625
"Atlanta, GA U.S.A.","Polish embassy tries to school Israeli lawmaker on Holocaust, gets lesson in humility:  'My grandmother was murdere  https://t.co/2EKWpUpzUL",-0.1
United States,"RT @IanusJWolf: Reminder: Once you take someone else's fucking money, you do not get to keep saying things ""fell through the cracks"" or oth ",-0.6
Cassalla Paradise,RT @harleivy: angelina jolie looked like THIS at 17 years old. i need to lie down for several minutes https://t.co/mpjDTd3agp,-0.018518518518518528
United States,"RT @LovePINKVINTAGE: Not an alcoholic, just a mess.",-0.2125
None,@__prettysvpreme I m serious,-0.3333333333333333
bognor regis,@adiepf @AlasdairGold He was a shining light in an otherwise bleak performance.,-0.3
None,"RT @hollerbangtan: thank you for working hard:

  k-diamonds &amp; i-lovelies
  army translators
  army fanbases
  army update-rs
  army fansit ",-0.2916666666666667
"Coconut Grove, Florida",RT @liberty_elizhy: The vague sense of uneasiness I've felt reading Eichmann in Jerusalem and watching this movie has turned into full anxi ,-0.07500000000000001
None,RT @WhistleSports: I'm crying   https://t.co/qOvFPgk11J,-0.2
Scotland,starting to hate sunday s more than i hate monday s!!!!! hell all to do in dundee :/,-0.31
Worldwide,#8: Sony E 50mm f/1.8 OSS Lens (Black) SEL50F18/B + 49mm UV Filter + Lens Pen Cleaner +  https://t.co/DYbV4MIPay #Lenses #Camera,-0.16666666666666666
I live in house stark btch,@verofuckingnica Huy ka harsh sad nimo oy HAHHAHAHA chill lang we have different opinions of beauty man sad and for  https://t.co/B3BF4LSj0H,-0.3
"Huddersfield, England",I m stuck in my flat cause my keys won t work   ,-0.025
SE1,"Still thinking about that moment in Belleville when James Norton sucked the toes of Imogen Poots. Reader, I was not ready. #Belleville",-0.1
"Multan, Pakistan","RT @Mustafology: You all don't come to our cricket grounds because you think we are a dangerous country, We keep coming to your grounds to ",-0.6
None,"RT @feedingtubepaul: I agree with .@tonyposnanski. ""Papa Johns is that unique pizza that both liberals and conservatives hate not just for ",-0.21250000000000002
Proud Indian EXO-L     ,"Y'all sleeping on Sehun's ""weonhameun eodideunji Go"" while drooling over his body. I'm sick of y'all  https://t.co/gGg1TwHYRy",-0.7142857142857143
sweden uppsala ,RT @LifeWithSelG: Rolling Stone has listed critically acclaimed  Bad Liar  by Selena Gomez as one of the songs robbed of a nomination for   ,-0.3499999999999999
"Point Pleasant, NJ",RT @sbstryker: Retweet this picture of Oprah with 3 hands or you'll have a decade of bad luck https://t.co/nPMOoe3kQk,-0.6999999999999998
None,"RT @TheManUtdWay: Jurgen Klopp on Pogba:  You will never see me pay that amount of money for a single player in a team. No way 

Liverpool ",-0.07142857142857142
"Andhra Pradesh, India",RT @exosminion: I'm so pissed. Sehun isn't a stripper or just a pretty face. He is a multitalented man who always suffers from injustice th ,-0.175
None,@EastSussexCC Terrible decision that is going to cause chaos. Combined with diplocks way closing at the same time I  https://t.co/a46bes4m2r,-0.5
"Brussels, Belgium",RT @Feorlean: Grateful to #DavidSteel and other members of the House of Lords for discussions with  @ScotGov &amp; @WelshGovernment  regarding ,-0.125
"San Diego, CA",RT @EdKrassen: Why is it so difficult for the same people who believe that Hillary Clinton was involved in a child sex ring in the basement ,-0.25
"Caerdydd/Cardiff, Wales",RT @JMPSimor: @MsMottram You must be right.  I just looked at a string of replies to Redwood - all fanatic Brexiters asking him to takeover ,-0.007142857142857145
Scotland,RT @TrulyScottishtv: we are desperate to broadcast a weekly Scottish news prog. I wish we could commission but we can't at this moment. We ,-0.6
None,"Such a simple thing to do, and you make it so complicated",-0.16666666666666666
" Nangloi  ,New Delhi, India","RT @InsanSmriti: Wd ur grace #GuruPapa @Gurmeetramrahim g
I thought to leave 1evil daily
Yesterday- i promisd not to waste time
Tdy- i vl d ",-0.1
None,"RT @btsvotingteam: [ REPLY CHALLENGE ]

Let's aim for 3,000 replies 

Can u make it before 3 minutes?

The faster we can do it, much better ",-0.125
Paris,"RT @LARRAYOX: I saw a video of an dog owner playing dead and his dog tried to save him 

so I tried it https://t.co/6pTSGzAznh",-0.2
"Scotland, United Kingdom",RT @dog_feelings: i had a long talk. with my fren. about how to spot. a fake ball throw. the optimal strategy. is to follow the ball. with ,-0.275
Stansted Airport,This is horrific!   words can not describe   https://t.co/yXuOSWllQv,-1.0
SPAM ACCOUNT!! FUB FREE !!,holy shit remember when i covered a camus song https://t.co/vQahkugRB6,-0.2
"Nairobi, Kenya","RT @CoalitionNASAKe:  If it will cost me my life or send me to jail for life, I am ready for it. My life is not better than that of baby Pe ",-0.049999999999999996
"Bay Area, CA ",I do 11:11 a little different.,-0.09375
"Neuch tel,  Switzerland",@joonsintellect I'm sad... Too bad #ThankYouYoongi was the same day that the Soompi Awards voting  ,-0.3999999999999999
"England, United Kingdom",Banning @realDonaldTrump from visiting the #UK is a bad idea. If he is allowed to come he will have to face the ang  https://t.co/WaLSbKYIQL,-0.6999999999999998
Republic of the Philippines,"RT @hoxeokie: hoseok: i feel like someone's been messing with the laundry
namjoon: what do you mean
hoseok: my clothes keep disappearing
yo ",-0.3125
