Location,Tweet
None,"RT @LaurenGiraldo: a pretty face don t get u shit in life 

treat everyone you meet nicely until they give you a reason not to be 

it s co ",0.21666666666666665
"Woodburn, OR",@YeleniMartinez Lol remember when my parents went out of town and I left at night and came back like at 5am and u w  https://t.co/xe1YNZu0Qk,0.26666666666666666
IzzatiAkmal  ,I need to fight till that dream come true,0.35
None,"RT @rosecolouredpml: first we have Love Simon which is about a boy struggling with his sexuality in school, then Every Day which is about a ",0.375
"Medford, Oregon","RT @_cloudofclouds_: The integration stems from a strategic partnership that the two companies inked last November.

https://t.co/2f6vzEUTXn",0.0
Vietnam,"RT @cleft_chin: Dispatch wrote an article about Yuri's ig post today
""From chic to cute  ""
""Yuri's 180 degrees image transformation in a da ",0.5
London,Sex and the City: life as a hostess in London's gilded halls - https://t.co/DLs6avmF0m,0.0
Earth,"@kylekinane So does Jack Daniels, Jim Beam, Titos, @Ron_White Number Juan Tequila, Jose Cuervo, Coors Light, anythi  https://t.co/6MZ41AZlF7",0.4
singapore,@MotoGP Not a single live footage of testing. Instead this 3 dumbos talking,0.08603896103896103
Abuja,"RT @iamwhunee: This Pastor on TV just said 'INEC won't count prayer points, go and get your PVC'. I felt that",0.0
"California, USA","@RealAlexJones @HillaryClinton Quoting a tweet from a prominent disinformation account?  

Do you vet these handles  https://t.co/8iZYDkMT5I",0.5
None,"RT @freddie_0_v_2: https://t.co/8VQfO76fq0
 Have a Person Think About You 
On a night when the Moon is waxing, go outside and hold the penn ",0.0
"Bulawayo, Zimbabwe","@mavhiza5 @Mathuthu @Chikwereti peeeeeew u're a horrendous ethnicist go look for your ""ancestors' document the so-c  https://t.co/5QNXgq8XtD",0.0
Tea Party ,RT @bleuvaIentine: me after hanging out with my friends then my depression starts to hit me when i get home. https://t.co/VAkmNu9Mop,0.0
Fremantle ,@spottie69 @OptusStadium seats are empty because those who purchased them left the ground already due to the sun. A  https://t.co/3zpCnwgdbh,-0.075
iran,"RT @Exolusa: {PREVIEWS} 180128 - EXO BAEKHYUN at E yXiOn in Saitama D2 
Cr. BUNNY

#EXOL #BestFanArmy #iHeartAwards @weareoneEXO

- Admin T ",-0.75
Huddersfield,RT @emsquare_d: Piers Morgan. I'm gonna need a bigger cup of covfefe #marr,0.0
None,RT @acgrayling: Yes. This is a great chance to send a very loud message. #ABTV is Anti-Brexit Tactical Voting: spread the word. Vote for an ,0.465
 ,@funkycoon10 OH MY LOOK AT LE CHIFFRE     https://t.co/bbOldMNo8Y,0.0
"LI, NY",RT @shelly123rocks: Its a lot of lust not a lot of love,0.5
None,I want nobody but GOT7 GOT7 #TeamGOT7 #TwitterBestFandom,0.0
NC BABY ,RT @wnewmiller: Lil Wayne is the greatest rapper of our generation. Not a debate just a fact,1.0
None,RT @DonteMacc: Whoever did that tatt on the left needs their ass beat LMFAOOOOO https://t.co/6WkD9QXZMt,0.0
"Kota Pekanbaru, Riau","This is make my fingers tired but i'm really happy looked ahgase working together
#TwitterBestFandom 
#TeamGOT7",0.2
Philippines,RT @siwonseyebrows: Yesung looked like he walked out of a freaking anime with his hair and coloured contacts!! Freaking amazing vocals he k ,0.6000000000000001
Tecmo Bowl,RT @bniceloco: Uzi swear he a bad bitch https://t.co/MKE7iGG2t0,-0.6999999999999998
None,"Coz they are Ashamed ! 

https://t.co/xEcLa7uQ02",0.0
None,Jodi Sta. Maria is a national treasure.,0.0
None,"Torn cartilage in my knee again and i have a torn ligament? Yup, I m going to kill myself",0.0
None,"RT @TommySobieski: ""you look mean""
""you look tired""
""you look mad""

or maybe I look like I'm minding my business",-0.4458333333333333
None,a guy fucking his girl drew barrymore naked nude https://t.co/xY5YbSJdli,-0.3
None,"RT @JackCryptoJack: I'll still doing a 5000 $TRX giveaway   
The price was low and we need to support #TRON  

3 DAYS TO GO  

All you have ",0.0
"Greeley, CO",I added a video to a @YouTube playlist https://t.co/JS3sGlNlML Guns N' Roses - Patience,0.0
"south africa, ",Who hurt you ? Damn https://t.co/lLUwOMVsFi,0.0
India,RT @karwanemohabbat: The despair &amp; fear in the eyes of the members of the three families we met in Bengal villages revealed how hollowed ou ,0.0
None,I feel like you'd say this @Kpoppin_otaku    https://t.co/IjajIikbw5,0.0
None,"RT @bangtansoshi: Throwback   
I m can proudly say  I m a fan of BTS 
Can you? Reply with that and #TwitterBestFandom #TeamBTS https://t.co ",0.8
Jannah ISA,"RT @mrsharma: life goes on without you. the second you think that you are irreplaceable, you ve lost a great life lesson. all you can do is ",0.4
"Bloemfontein, South Africa  ","RT @faithmafuduka: Many didn't wake up today,many are in hospitals,prisons or losing their last breath.Thank God for your life   even if it ",0.25
sunny wolverhampton ,RT @AwardsDarwin: That s why I don t ski jump.  https://t.co/yCxX1vvDzy,0.0
Planet Eart ,"My #BusinessCaracter are #Creator #Supporter #Trader 
are u #Mechanic #Star #Accumulator ?
We are looking #Bra  https://t.co/MhtPHyXOl2",0.0
2/4+BAM,RT @ltsKermit: They've been around for years. I went to school with a couple of them. https://t.co/OgCB6iPl8C,0.0
None,RT @Gamorreanguard1: Great to see the @GPiccadillyRats again. Make a lot of people smile lads.   https://t.co/pNwkykYRlU,0.55
"Durban, South Africa",RT @asamngqithi: Did you know you can be a side nigga while there s no main nigga  ,-0.08333333333333333
allwink&nielwink,"Indescribable, i cant describe him in just one word HAAHHAHHA

#TwitterBestFandom #TeamWANNAONE https://t.co/3KN3uUw7KS",0.0
  = MOMENTS,"RT @C9GIRLZ: [SURVEY] A rough Good Day bias form. Please fill it if you can/want to and rt! 
 : https://t.co/1FFOKK75no

#GOODDAY #    http ",0.00833333333333334
None,RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
South Africa,@Siyanda82310377 A fool of fools,0.0
"Perth, Western Australia",RT @yknoC: hey u wanna fuck       ,-0.4
"Spring Hill, Florida, America","""teach a puppy as soon as you can"" how can I teach a stubborn, thick headed puppy with selective hearing who rather  https://t.co/XEUAn25Kec",-0.30000000000000004
Team Boogara!  ,RT @robinlordtaylor: I know who he's voting for. #ImWithCobblepot #Gotham now on @FOXTV! https://t.co/3dQmjHEI9q,0.0
Antarctica,RT @like_nemo: OKAY what if Jungkook is planning to make a gcf for each member and then at the end he gon make ot7 vid like memories that t ,0.5
Essex. Birmingham. ,RT @ellsmithh_: False eyelashes need to come in eye sizes cus I m sick of trimming my lashes and all of a sudden you ve done too much and c ,-0.2285714285714286
Birmingham,@jayr1972 There's a difference between slow build and inertia. Can't see people putting up with a lack of ambition.,-0.30000000000000004
None,"RT @NeryYoon: @BT21_ Nose but in the end I think I win COOKY !

#iHeartAwards #BestFanArmy #BTSARMY @BTS_twt https://t.co/zokTj06Jx9",1.0
None,How bad i want FEDEX to win #FedererVsCilic https://t.co/13ZjUvka45,0.0500000000000001
"Toronto, Canada ",RT @dodo: This giant manta ray approached a diver to ask for help   and he immediately noticed what was wrong. https://t.co/zHue9dfRRh,-0.25
The Finalizer (in orbit above Tokyo),Some shots showing that no one but Hux has the great coat. Everyone else has a cloak cut to resemble it. Also the A  https://t.co/sNtPhns7O3,0.8
"Delray Beach, FL","RT @lindasteelehot1:   TWO MORE SHOOTS TODAY AND THEN I AM DONE!  BACK HOME TOMORROW!  
  #TEAMSTEELE       #FITNESSMODEL  #BIKINIMODEL htt ",0.3125
Islamic Republic of Iran,"RT @Simplesteff13: According to Baekhyun, Chanyeol's breathing is way too loud and he does a sniffling thing after that.

#TwitterBestFando ",0.1
"RT a lot, deal with it","RT @vlissful: taehyung: come on, let s do bangtan bangtan bangbangtan with wifi. everyone!
members: wifi, wifi, bluetooth! bangtan bangtan, ",0.0
Durban ,RT @azraa2697:  Lion  is one of the best and most difficult movies I ve ever watched. Highly underrated.,0.29
      ,"RT @exofml_:   Ariga? (thank?)
   tto! (you!)
  Aishite? (I love?)
   ru!!! (you!)
  mata? (see you?)
   ne!!! (again!)
  jo a?? (do you li ",1.0
southport UK,One of the forefront games in the puzzle/action genre that's prevalent on mobiles now. One of my personal favourite  https://t.co/xZ4d7aUpFB,0.0
"Kota Padang, Sumatera Barat","RT @constant2017: .@sugafull27 can you translate this for me?!!

Oh wait. . .   

 #iHeartAwards #BestFanArmy #BTSARMY @BTS_twt 

FYI - tha ",0.0
People's Republic of China,I get to love GOT7 GOT7 #TeamGOT7 #TwitterBestFandom It s the best thing that I ll ever do,0.75
Romania |   : @Dress_Of_Heaven,"@BeoWulfBuster Yes... 'Creativity'. We can go with that.

But, his plan worked.

About twenty kilometers to the wes  https://t.co/5UHRYM7C6n",0.0
UK & PORTUGAL,"RT @FreeSpeechGB: I am growing more &amp; more impatient at #Mays inability &amp; refusal to deliver #Brexit
The issue isnt going away &amp; if Westmin ",0.26666666666666666
Republic of the Philippines,"RT @jusktrash: bae suzy is so freaking beautiful and talented, what a goddess",0.7749999999999999
None,RT @_hyyyu: My friend was engaged to a guy who made her skip classes to see him &amp; later made her drop a semester cause he felt they didn t ,0.0
San Francisco,RT @ASnarkyCatLady: @SaskDaniel_san @MuslimIQ Since they're so obsessed with whiteness I suggest we send them someplace cold and covered in ,-0.55
"Coral Springs, FL",Fav vine of all time https://t.co/YHCbqrrUUs,0.0
hogwarts,"RT @sugafull27: Suga is a mool mandoo according to his mom     

I knew he gained a bit lately but i love it coz it means hes eating health ",0.1
"Sun Valley, CA",RT @vinnycrack: My parents had The Beatles and I got this fucking fruit loop headass https://t.co/J2HSH2bkp4,-0.6
"Bengaluru, India","RT @incredibleindia: Be a part of Baneshwar fair - the biggest tribal fair of Rajasthan - and witness the trade fairs, exhibitions, animal ",0.7
"Gangawati, India",@Jaggesh2 Wish u Happy Birthday yathiraj sir,0.8
None,i guess the joke is on you lolz   ,0.0
"Manila, Philippines",RT @letters2got7: Even i am wondering where do so many ahgases come from? Am i mental to think this fandom is small? Omg we are literally t ,0.05000000000000001
None,gosh i love him,0.5
None,"RT @LARRAYOX: I saw a video of an dog owner playing dead and his dog tried to save him 

so I tried it https://t.co/6pTSGzAznh",-0.2
"Austin, TX","RT @JudicialWatch: In a big court win for JW &amp; @DailyCaller News Foundation, a U.S. District Judge ruled the FBI must turn over former FBI ",0.26666666666666666
"California, USA","RT @ProudBator: Tic-toc, time to bate with Proudbator! hehehe, c u at https://t.co/svzUxAvN4v, my bros. https://t.co/aJoKpULaSK",0.0
 ampang ,"RT @DamnRealPosts: I'm not perfect. I'll annoy you, make you mad but put all that aside...You'll never find someone who cares and loves you ",-0.5625
New Zealand,@Jarnse So you decide to join a team? Logic,0.0
TEXAS,"RT @isaiahhickland: we re all in agreement that if we see this man around San Marcos it s on sight for him, correct? sounds good https://t. ",0.7
"Georgetown, Texas","RT @metroadlib: i did NOT know how soul-crushing leaving your house to go to work would be.
my parents were always dressed when i came down ",-0.15555555555555559
None,"I entered a giveaway for a chance to win ""Handheld Steam Cleaner - Most Lightweight..."" by LIGHT 'N' EASY. https://t.co/q8PIJmtApH #giveaway",0.5333333333333334
"Sarasota, FL",RT @DSA_Phoenix: The Trump admin is allowing states to eviscerate Medicaid with work requirements! We need a healthcare system that works f ,0.0
None,"@PRSundar64 @johnmathew9 @niftywizard Sir, It is not worrying but money management. As u said insurance companies i  https://t.co/EXuYBwqbgH",0.0
"Glasgow, Scotland",RT @EgoConstantinus: #WorldLeprosyDay2018 @EgoConstantinus's De elephancia (On Leprosy) was the first monograph on the topic written in Lat ,0.25
      ,"@soompi It's kinda hard for me to express myself to why i like EXO so much. 

L-1485 #TwitterBestFandom #SoompiAwards #TeamEXO @weareoneEXO",-0.04583333333333334
None,now thats a glo up @brandon_arreaga https://t.co/6XAX0yh09T,0.0
337,RT @baefromtexas: i'm not myself right now &amp; nobody notices...... but it's cool https://t.co/QaiRVQqMaW,0.31785714285714284
None,RT @paullewismoney: Ex Cabinet Minsters caught in Sunday Times sting selling their post Brexit expertise for thousands a day https://t.co/O ,0.0
"   ,  ,  ,  , &     ",a little drink,-0.1875
Blackpool,RT @Friday13thGame: Excited for Pinehurst? So are we! Check out a few screenshots of the new grounds. https://t.co/XooKQOaDDj,0.1350378787878788
None,"A member of the Tory cabinet a liar?, this is no longer shocking, it s expected  #GavinWilliamson #marr",-0.55
"Kansas City, Mo",RT @Jfonzo: I just seen a confederate flag inside a car in Akihabara. I don t even,0.0
Norfolk,"RT @TheWifeEdit: How do you fancy winning your own personalised @bakerdays cake??
Simply follow and retweet for a chance to WIN. 
*Closes o ",0.47500000000000003
Giardini Ricasoli,She was the best damn woman that I ever seen,1.0
None,"RT @NoraNoracampos: ""A deep sense of love and belonging is an irreducible need of all people. We are..."" 
#ALDUBFeelTheLove",0.25
"    , India,      ",RT @AshKaneSkittles: Afghans are such beautiful people and all they've witnessed is war and endless tragedy. May Allah grant those who have ,0.24166666666666667
"Ramsbottom, England","Having a little FPL tinker this morning, I don't think it's possible to have a balanced side that contains Kane, Sa  https://t.co/aALpxJzH2x",-0.09375
"Maryland, USA","RT @catapstrophe: He is scrumptious, bye Scott https://t.co/LCV295JrFi",0.0
None,RT @gauravcsawant: ''Shoot me too. I sing Vande Mataram. I say Bharat Mata Ki Jai.I say Hindustan Zindabad. My son Chandan was not linked t ,0.0
None,"RT @Dischivolanti: I Daft Punk, 1995, in borghese. https://t.co/hneWBSILbR",0.0
Johannesburg,"@Olwee I agree, I actually have never paid more than R100 in Cape Town",0.25
Saudi Arabia ,"@masroorbukhari Abu Al-Darda              used to buy sparrows from boys and free them, and he would say ""Fly away and live a free life.""",0.4340909090909091
"Paris, France",cant wait to be old enough to live my life just the way i want to,0.07878787878787878
None,"Nayeon is always being a crackhead, not much choice here

#TeamTWICE
#TwitterBestFandom 
#SoompiAwards https://t.co/MviZBSRLLZ",-0.1
  ,"RT @pure_p4: https://t.co/4BNR5piKd3
Good morning dear Twitter friends   Have a happy day    ",0.75
None,RT @Raquel_Savage: Nah they bodied this. https://t.co/3r5Anaaqer,0.0
jongkey's closet,"RT @galaxyvixx: The Jonghyun memorial at SM Town is beautiful, and they included all the albums he participated in as a part of the display ",0.85
Making Money ,RT @ShannonSharpe: At 22 Bron had Cavs in the finals. https://t.co/xm852WExZO,0.0
None,RT @your_home: Happy Sunday Everyone!   Don't forget to enter our #FreebieFriday to #win a bundle of bathroom goodies including a bluetooth ,0.9
Thailand,"RT @sweetrhythms: I appreciate all of your retweets, likes, msgs. &amp; beautiful #photos. Hope everyone's weekend is going well :)

Pic via @K ",0.675
None,"RT @sairahussain87: FYI ""chain migration"" is not a real term. The actual term, written in the Immigration and Nationality Act, is ""family r ",-0.05
"Dublin City, Ireland","@Manzinat0r If there's a male equivalent, it'd be flexing your arms after carrying in 8 bags of groceries at once. https://t.co/lXoEzXFzbi",0.0
India,@UberINSupport Cheating  is Not a sustainable bizness model. Why shud i pay for non commitment from yor driver???  https://t.co/QZIhYZmOxg,0.0
None,I have to wake up early in a few hours so goodnight!! I love exo and my mutuals :)))),0.196875
None,"RT @BazzB70: What s your type of #Furryness A,B or C??   https://t.co/wYu2CjABa2",0.0
Philippines,"RT @vantaekim: jimin: i wore very cute clothes today, i m so cute today

#iHeartAwards #BestFanArmy #BTSARMY @BTS_twt https://t.co/ZEhVTxWe ",0.575
None,RT @OGMaco: YOU'RE ALWAYS ONE DECISION AWAY FROM A TOTALLY DIFFERENT LIFE,0.0
"Texas, USA","RT @frnllybg_: SELLING: 

1 MONTH NETFLIX
1 MONTH CRUNCHYROLL
2 MONTHS SCRIBD

ALSO SELLING TUTORIALS FOR A CHEAP AMOUNT! DM ME TO AVAIL. F ",0.5
Western Europe,"I love the ""as if""   https://t.co/fbBAwmOzQp",0.5
Right place Wrong time.,@nikkidunn7798 You deserve a day off after your amazing all white session. Your hard work did not go unnoticed or u  https://t.co/HLOuTkJKYa,0.027083333333333348
*parody*,"RT @frnllybg_: SELLING: 

1 MONTH NETFLIX
1 MONTH CRUNCHYROLL
2 MONTHS SCRIBD

ALSO SELLING TUTORIALS FOR A CHEAP AMOUNT! DM ME TO AVAIL. F ",0.5
None,"@Saboteur_Riley Now I can tell Silas to go fuck himself twice as confidently. 

...This may sound sappy, but I supp  https://t.co/POA4MIgy7j",0.16666666666666666
None,"RT @frnllybg_: SELLING: 

1 MONTH NETFLIX
1 MONTH CRUNCHYROLL
2 MONTHS SCRIBD

ALSO SELLING TUTORIALS FOR A CHEAP AMOUNT! DM ME TO AVAIL. F ",0.5
/ islamabad # pakistani / ,RT @Aviation_Pics: A @FlySWISS A330-300 showing some real power during take-off in some cracking morning light   #avgeek https://t.co/b7LLD ,0.30000000000000004
Johannesburg,"@WitsUniversity @AdHabb @Wits_SRC My first year at wits in 1985 was so different from today, we have made such prog  https://t.co/gQb074tbEm",0.08333333333333333
JIMIN of BTS,RT @VogueRunway: Take a look inside the @BTS_twt party bus and their perfect wardrobes. https://t.co/K8TpF9crZv https://t.co/swbGFEtDXK,1.0
None,RT @izzie_adams2:   TrumpMorte @Twitter @TwitterSupport @TwitterSafety @SecretService Please pay him a visit   @POTUS @USMarshalsGov  This ,0.0
None,W210 Auto Repair manual Workshop manual Tutorials | Mercedes Benz E-Class https://t.co/2eHthnbxo2,0.0
None,"The more I stray, the less I fear
And the more I reach, the more I fade away",0.33333333333333337
0x7601d6b25EFEfb7F02adBd1Cf21a05eDD3D9dc2A,"RT @AIDOC_me: #AIDOC #LIVE #ETH #BTC #AIRDROP #Exchange #Bit-z
To congratulate AIDOC for being listed on https://t.co/JnGKPdFywR. We will r ",0.13636363636363635
1877293304123129662313017756.,RT @KaroshiMyriad: Amuri is the biggest surprise so far in F/E. She could be another Tamamo or even Extella/Zero's Hakunon since it was des ,0.1
"Anaheim, CA",RT @dracomallfoys: do you ever just walk to the fridge and drink milk/orange juice straight out the carton and feel like ur the older broth ,0.18333333333333335
LDN - CA,RT @brysontiller: i can and i will. watch me,0.0
turn on notifs ,"RT @frnllybg_: SELLING: 

1 MONTH NETFLIX
1 MONTH CRUNCHYROLL
2 MONTHS SCRIBD

ALSO SELLING TUTORIALS FOR A CHEAP AMOUNT! DM ME TO AVAIL. F ",0.5
THAILAND ,It's a beautiful sky #TwitterBestFandom #TeamGOT7,0.85
None,"RT @rmvely: [BT21] TATA and COOKY giveaway~  
  RT and follow me &amp; @mulbada_RM 
  tag a friend!
  ends in 5 days
  winner gets tata and coo ",-0.9375
None,"RT @laughkpop: Q: Does Yoongi like pale-skinned girls or copper-colored girls?
A: It doesn t matter. Appearance isn t that important. As lo ",0.4
None,"When he slap the ass, I literally die everytime  ",0.0
IG:everyonelovesdevin,I need someone to converse with,0.0
auto rts ; visit likes section,"RT @frnllybg_: SELLING: 

1 MONTH NETFLIX
1 MONTH CRUNCHYROLL
2 MONTHS SCRIBD

ALSO SELLING TUTORIALS FOR A CHEAP AMOUNT! DM ME TO AVAIL. F ",0.5
The Room,"RT @lilac_spawn: Taraji P.Henson at The Matrix Reloaded s premiere. L.A., 2003 (iconic look). https://t.co/llBJ5mt3eZ",0.5
hole of multifandom,"@SF9official Take care and always keep yourself warm   I love you so so much, take care     ",0.43333333333333335
None,"RT @ArsenalAnalysed: Tottenham fans spent the last four years saying the FA Cup is meaningless, then after we were out it's been a real tro ",-0.09999999999999999
None,RT @sugafull27: 'they are great but they also work so hard so no one can win them' nd complimented us. Hearing tht i thought 'he was able t ,0.45208333333333334
Ghaziabad/ New Delhi,RT @sparksjls: Well now I don t know what to believe. https://t.co/FTiECMPAVl,0.0
"Los Angeles, CA",I m bored as hell someone hangout with me,-0.5
None,RT @Paul_Coghlan: How was this not a straight red card and a penalty yesterday? Not even a booking for Darian MacKinnon of Hamilton. A shoc ,-0.05
None,Thank you.. I may answer this too   for #TeamGOT7 #TwitterBestFandom tweets     https://t.co/T1A0uLmetM,0.0
None,RT @ChristieChats2: @youlivethrice Trump and MAGA movement is what is happening. I guess they do not want a better America for everyone Cat ,0.5
"Washington, DC",RT @ArmsControlWonk: I don't know who in the @39thAirBaseWing is running laps among the nuclear weapons at Incirlik AB with @Strava on his/ ,0.0
None,"RT @yoonminet: I WILL NEVER SHUT UP ABOUT THIS

#ThankYouYoongi

#iHeartAwards #BestBoyBand #BTS https://t.co/P6SGl5lA5M",0.0
None,RT @kthjjg: nothing better than getting attacked by them on a very fine day https://t.co/l5TgfeYLXF,0.5208333333333334
"Brantford, Ontario",I wonder if anyone will notice if I wear a heating pad under my uniform tmrw... ,0.0
nowhere,"i suffered from dengue, pneumonia, pediatric tuberculosis &amp; asthma simultaneously, then, typhoid, and now ovarian &amp;  https://t.co/pl2F7tsOXr",0.0
The town of robloxia.,RT @tordenask: @Steam_Support Please take action against all theese innocent users who have been attacked by bots and then transformed into ,0.3
"Santa Clara, CA",when you get a wipe in their spawn #Splatoon2 #NintendoSwitch https://t.co/sinsOrHHcT,0.0
  katie  ,my ideal anime viewing experience is dubbed english dialogue with the english subtitles from the original text bc i  https://t.co/PqzCbJXj3D,0.31875
"Cape Town, South Africa",RT @skochsteezy: A friend of a friend got hijacked in Hammanskraal around 22h00. Please help find the car @stolencarRSA https://t.co/eAACSB ,0.0
Brisbane Australia,"RT @GregRusedski1: One guy warms up indoors, other warms up outdoors before the finals. Roof is closed.   This is so wrong for a GS final w ",-0.18125
"Lagos, Nigeria","RT @segalink: I beg of you all, stop handing over your phones to corrupt thieves in Uniform. Stop entering their Vans. Use your voice. Scre ",-0.5
"Jeffersonville, IN","RT @CauseWereGuys: her:  he s probably thinking about other women 

him:  i hit him with a pump shotgun from close range and it only did 7 ",-0.0625
Nottingham,RT @SimonRBaty: A plastic good news story - Lego: The invention of the legendary brick https://t.co/BRBjlrQoJ5,0.85
pjm,Lmao why are u being so obvious that you were lying to me. I'm already pretending i don't know but damn boi you making it undeniable,0.3
None,A pair of star-crossd #TeamBTS @BTS_twt lovers take #TwitterBestFandom their life,0.0
None,"Leprosy is an age-old disease. Throughout history, people afflicted have often been rejected by society.

This Worl  https://t.co/42ThylWi1T",0.0
None,on her F O R E H E A D,0.0
None,RT @GraysonDolan: You guys know me well and I ve seen that some of you have sensed that something was up so I just wanted to fill you guys ,0.0
Kyrton,I liked a @YouTube video https://t.co/OnPSOC99zg I JOIN CRAFT UHC SEASON 8,0.6
Spain,"RT @vantaekim: jimin

""my younger cousin is my fan. so my mom told them that if they study hard, she will give them a CD and let them talk ",-0.14583333333333334
Indonesia,"RT @taelien15: @shadow_twts @Regard_toi @BTS_twt Even better, I'm living in Australia now but originally from Asia (Philippines) so double ",0.2916666666666667
None,RT @tenwordspoem:  I suppose I always knew it would never be you. ,0.0
multifandom,RT @lexi4prez: Are y all really acting like this is breaking news? https://t.co/hzK3yi61Sp,0.0
None,"RT @got7co: A game needs a main character. 

Choose a member and quote/reply with your answer with #TwitterBestFandom #TeamGOT7.",-0.11666666666666668
send me ur location,"""I was caught in the midst of your insecure winds."" said the man",-0.5
Chealsea,@damonmysw I can t wait,0.0
University of Hertfordshire,Pigs in a trough. Tories selling us out for personal gain  https://t.co/2HS7zZap1C,0.0
Marlow,"RT @MrCracknell: All the players were top class today with the fans (both Newport and Spurs) signing stuff and having pics done   
Special ",0.4285714285714286
Inktopolis,RT @hermesthenerd: when you get a wipe in their spawn #Splatoon2 #NintendoSwitch https://t.co/sinsOrHHcT,0.0
Here and There,Did you say Alihamdulilahi for the grace of waking you https://t.co/MS9zHK43dc,0.0
"East Midlands, England","RT @AdamWagner1: On     #HolocaustMemorialDay this is why we need to stand up for human rights. Please share the Moment 

https://t.co/Zp96 ",0.0
None,@LauraForczyk @SpaceX The lid on mine broke a while back too! I bought a generic replacement bottle in the same sha  https://t.co/EM9FD1lWaP,0.0
None,Russian Olympic Committee: Russian Olympic Committee:  Take a stand in Pyeongchang 2018 against the d... https://t.co/0zTTPVTuv9 via @Change,0.0
"Iowa, USA","RT @Noahasf: *On Ellen*
Ellen: so I see u tweet about wanting to die
me: haha yeah sometimes
*Death appears, sneaks up behind me*
me: omg e ",-0.1
mikan @ steci,"RT @neru_sleep: once upon a time, anyone gave a new world to a vocaloid producer. he enchanted by ""dank memes"" and reincarnated as a dirty ",-0.2318181818181818
roosa || jana || chassy b,"  180128  
    28.365

to the man who is not afraid to speak the truth and had the courage to share his stories wit  https://t.co/LWGxIwwWuv",0.3
Indonesia,"RT @vantaekim: yoongi: i ate so much food lately, my mom was watching [me] on tv and told me i look like a boiled dumpling

#iHeartAwards # ",-0.04999999999999999
"Malolos , Bulacan","RT @myunwrittensoul: ""How do I say goodbye to someone I never had?""",0.0
None,i'm just so sad i didn't get to go to any winter formals :(,-0.625
None,"Jaguar s E-Pace SUV, Porsche Cayenne  new models for SA   Wheels24 https://t.co/dM8g5gstka",0.13636363636363635
"Hyderabad, India",RT @Outlookindia: World s smallest woman meets the tallest man in #Egypt. Two-foot-tall #JyotiAmge from India and 8.2-foot-tall #SultanKose ,0.0
"Nashville, TN",RT @EvaMozesKor: Happy 73rd Liberation from Auschwitz when this picture was taken-I'm the child next 2 nurse. 1 thought I had-I want 2 go h ,0.4
    ,RT @gauravcsawant: ''Shoot me too. I sing Vande Mataram. I say Bharat Mata Ki Jai.I say Hindustan Zindabad. My son Chandan was not linked t ,0.0
