Location,Tweet,Positivity
None,"@e404smith @CNN Yeah, but his music back in the day was never political.  I dont recall any diss tracks for Clinton  https://t.co/0bOzOjms2u",0.0
East LDN,RT @obviJ: How tall are you   I voted remain https://t.co/uG2Cnx6EFw,0.0
Cape Town/ Mdantsane,RT @realDonaldTrump: Are you allowed to impeach a president for gross incompetence?,0.0
None,RT @example: I ain t an influencer. I m an under the influencer,0.0
None,RT @hirayeon: i've been wheezing for 20 minutes https://t.co/i0FpofQhyN,0.0
J'habite pr s de la plage,I just want my head rubbed,0.0
None,"RT @tinybaby: I would support the XFL if, instead of a separate league where they play football with different rules, it was a rebel factio ",0.0
"Las Pinas City, NCR",I miss him  ,0.0
SOUTH AFRICA,RT @GomolemoLesabe: Baby Girl doing well on the charts https://t.co/TETmQkBesw,0.0
None,GOT7 I just want to feel this moment with you GOT7 #TeamGOT7 #TwitterBestFandom,0.0
"Brecksville, OH",How To Promote Your Startup On A Shoe-String Budget https://t.co/PHdo0KdLai,0.0
"New York, USA","HEY DACA......If a family walks into your government funded house and says we are moving in, eating your food and y  https://t.co/JueEHcrQQ5",0.0
hell,RT @fragoles: When Jungkook dropped gcf in Tokyo you all called people delusional and said it meant nothing but now that your ship has been ,0.0
   Ningizimu Africa  ,"RT @MbalulaFikile: @HermanMashaba @CityofJoburgZA Thank YOU Mayor what bind us together is national interest in the fight against crime , Y ",0.0
"Tokyo-to, Japan","RT @qtpiebyunbaek: EXO in DUBAI Section TV Interview

The hyungs also said that Sehun grew up a lot. Sehun was a high-schooler during debut ",0.0
"England, United Kingdom",RT @downeysduckling: Robert Downey Jr is a king   https://t.co/BwIHzSWWiu,0.0
"Barcelona, Spain","RT @yosoynanie: just somethins I can turn into

YourJudge AngelLocsin",0.0
Republic of the Philippines,"I keep wanting to go, just you and me
  #TeamGOT7 #TwitterBestFandom",0.0
None,"45C30ABC :Battle ID
I need backup!
Lvl 100 Luminiera Omega
https://t.co/oTG3ybD7W7",0.0
None,RT @neilhimself: This. A thousand times this. https://t.co/zlXlTxr1vq,0.0
"Aurora, CO",hashtaggcw: #RT @PGATOUR:     of a champion. https://t.co/ZG8stlIUqz,0.0
#TeamKiddieParty,Please be patient with me. sometimes when i m quiet it s because i need to figure myself out. it s not because i do  https://t.co/jPFJblR9SH,0.0
london,"RT @vibeamn: Lmaaooo somebody said  why would I hop in some beef, when I can just write a report    FACTS https://t.co/m1z8GDIAP7",0.0
South Africa,RT @naughty_mary: This pussy is creamy today     need a tongue   https://t.co/PsKdt4P9Uc,0.0
None,RT @Premscene: @JamesPrestridge @lastflagflying Isn t this a cracker James!,0.0
London - UK,@Collieuk @madsdk When you stream from 47 different platforms you re going to get a lot of wires!,0.0
kuburan dong ,@syqreen I think accessibility,0.0
None,I need my momma rn,0.0
