Location,Tweet,Positivity
None,@IiSvosve @matigary @Wamagaisa @GomoDubi Have a respect for Vegan Snacks? Invest in Keep Healthy now https://t.co/z5VFcTe0f8,0.5
"Birmingham, UK",RT @ARGroupsUK: First and early sightings of the year are particularly important to record as they give a great insight into species ecolog ,0.3875
harlem world,RT @officialjaden: It Was A Good Day,0.7
None,How many time have i watched Go to listen to his voice only? I wish i could tell sehun 1000 times that i love his v  https://t.co/l7Jlhf4Tjf,0.3333333333333333
"Exo planet ,in heart of exo   ","RT @byunificial: Suho: We are already in our second half of the concert. And we have, like yesterday, prepared a special stage! '^' 

+ Bae ",0.09325396825396826
0.000.000,RT @ZuThadeus: @theresa_may UK's intelligence reform should be on the forefront for a great beginning to a 'period of change'.,0.8
None,"RT @twshtrsh: This year is definitely Angel Locsin and her Angels year! I'm so excited for tomorrow, and the next months! 

YourJudge Angel ",0.125
"Sadly, in a world where selfishness has become the norm",RT @vincentdonofrio: Hugs2all the good people out there. I wish from heart the best for you today&amp;tomorrow. 4anyone w/hate in their hearts ,0.85
None,RT @helping_meowt: READ FULL STORY HERE: https://t.co/U2RNfoa5sN    FOREVER HOME NEEDED    @Regranned from @carsonsheltercats -  WOW!   Mee ,0.2375
None,RT @jaicurry4: #TheFourComeBack #Zhavia Bring her back. Seeing a talented artist walking out of that stage makes me sad! @2hypezhavia @TheF ,0.024999999999999984
Sampit - Yogya,"RT @ChampionsLeague: ""The best goalkeeper in the history of the game.""  

Wish Juventus &amp; #UCL legend Gianluigi Buffon a happy 40th birthda ",0.4666666666666666
None,I liked a @YouTube video https://t.co/8sdwc50cM1 Caroline Kennedy talks JFK angry outburst,0.04999999999999999
None,I love my moms https://t.co/hmBUg5Le9o,0.5
None,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! https://t.co/VJvJpDqJfK,0.3181818181818182
